iter,primal_feasibility,dual_feasibility,optimality_gap,inner_iter_predictor,inner_iter_corrector,krylov_tol,rank,construct_precond_elapsed,CG_solving_elapsed,cumulative_time,rho,delta
0,1.9071691886616403e6,436936.86772343173,34254.115542162894,0,0,0.0,0,0.0,0.0,0.0,8.0,8.0
1,9535.837118522406,2184.6996427698855,3047.801112692506,82,83,1.0e-6,0,0.010054598,83.6137649,84.678350873,0.7118096180743034,0.7118096180743034
2,47.80264268813207,32.78271308123925,437.6983086393035,83,81,1.0e-6,0,0.00635821,85.607056644,171.344313502,0.10222381788852124,0.10222381788852124
3,0.9717967445850847,9458.036811012007,86.98551563520745,104,101,1.0e-6,0,0.006256368,107.27939703,279.181793267,0.047672773975979035,0.020315343545364788
4,0.34281838434586126,15215.976192365784,28.855552042812388,617,1025,1.0e-6,0,0.006101866,836.9540667450001,1116.8254194219999,0.026455100522031892,0.006739173167625822
5,0.10825210580342065,692.3467406321074,4.477511917107092,629,688,1.0e-6,0,0.051123427,645.943589125,1763.3856100519997,0.004105034195149603,0.001045716544418327
6,0.007630084198652225,35.16122696404916,0.3137746829744306,785,724,1.0e-6,0,0.006723832,782.2005582859999,2546.1531767469996,0.0002876722222136422,7.328163124532215e-5
7,0.0009506130335696196,0.17580743086122133,0.041050129883025865,470,415,1.0e-6,0,0.007570818,460.26473144,3006.9586358959996,3.7635229119396485e-5,9.587199490232996e-6
8,0.0002076170306749364,0.0008790823338933649,0.004001732631654187,422,417,1.0e-6,0,0.006326045,440.616760356,3448.1321475709997,3.668834298357387e-6,9.345989685189225e-7
9,7.267990919829715e-5,2.0273189600296764,0.0005949856152713449,481,495,1.0e-6,0,0.00673445,505.936854364,3954.621031879,1.5886867458590073e-6,1.3895804480229168e-7
10,0.0001242066663701365,9.245922645273746,0.000352965063794449,448,561,1.0e-6,0,0.008689569,514.121383898,4469.277071802,1.1583006013252996e-6,1.0131335662805788e-7
11,8.05285476299961e-5,3.006927614607156,6.567229631878852e-5,381,382,1.0e-6,0,0.006201653,375.394806165,4845.197107776,2.1551215153906773e-7,1.8850253070382067e-8
12,3.102184951934136e-5,0.015034638073011447,3.930581389099061e-6,563,456,1.0e-6,0,0.008735391,517.659582843,5363.401514421,1.2898712234032387e-8,1.1282147579945948e-9
13,4.140416497324815e-6,0.0009081076147074838,2.846059562085274e-8,654,658,1.0e-6,0,0.00861195,666.312172576,6030.262094627999,5.0e-10,5.0e-10
14,8.664584010427925e-7,4.5412380790397695e-6,1.4228905236029592e-10,152,148,1.0e-6,0,0.008032219,155.286729565,6186.052631727999,5.0e-10,5.0e-10
15,9.530394253319716e-8,2.270619113458492e-8,7.1147603696269e-13,281,14,1.0e-6,0,0.006085321,147.153418765,6333.7430653619995,5.0e-10,5.0e-10
16,7.154084907047284e-10,1.1353091534823806e-10,3.55746911741964e-15,215,4,1.0e-6,0,0.00609052,118.204145387,6452.511658709,5.0e-10,5.0e-10
