Preconditioner,rank,IPPMM_time,TotalElapsedConstructPrecond,TotalElapsedCGsolving
Nystrom,50,12.096735932333333,0.5350478276666666,11.525130917
Nystrom,100,9.878879704666666,0.9388708276666667,8.90707326066667
Nystrom,200,8.816677703000002,2.0376010173333334,6.747490713
Nystrom,300,9.116427643000002,3.3942478546666663,5.689224434000001
Nystrom,400,8.683612426000002,4.1516443223333335,4.500061334666667
Nystrom,500,9.741218255333335,5.3753660556666665,4.331933096
Nystrom,600,11.607758381000002,7.219317711666668,4.351688067999999
Nystrom,700,13.432000908666666,8.726306878666668,4.665661094333333
Nystrom,800,15.871572287333331,10.092711283333335,5.736466419333333
Nystrom,900,16.686227447666667,11.792524121333331,4.848708470999999
PartialCholesky,50,452.55177404000005,50.099416852,401.7104475913334
PartialCholesky,100,592.735175723,56.57993707333333,535.3735073506665
PartialCholesky,200,780.2465760306667,61.20057742133334,718.2693755806666
PartialCholesky,300,908.7411513723333,71.55679736166667,836.4405807536665
PartialCholesky,400,1013.9550628276667,80.10776777566666,933.2034630003333
PartialCholesky,500,1082.5752947849999,87.43496223166666,994.444514185
PartialCholesky,600,1169.27073459,98.15769949399998,1070.4317029436668
PartialCholesky,700,1255.5657223053333,106.26772613599998,1148.4765596923332
PartialCholesky,800,1301.3783831706667,117.726738295,1182.8485408043332
PartialCholesky,900,1338.9030369546667,128.15737089933333,1209.9535960083335
